ID,지역,도서관명,상호대차 유무,순회사서 유무,지원 여부,지원인력,지원예산,지원장서,지원프로,외부대출여부,대출도서 전용프로그램 여부,전용프로그램 공공도서관 연계 여부,연간 도서대출 권수,연간 증가 장서 수,총 보유 장서 수,연간 증가 연속간행물 수,현재 총 보유 연속간행물 수,건물면적,열람석,PC 유무,관리자용 컴퓨터,이용자용 컴퓨터,연간 총 이용자 수,1일 평균 이용자 수,회원등록자 수,총직원,총봉사자,자격증직원,자격증봉사자,도서구입비,인건비,운영비,합계,실시여부,독서프로수,독서프로실시횟수,독서프로참가자수,문화프로수,문화프로실시횟수,문화프로참가자수
1511,경남,북신동새마을작은도서관,0,0,1,0,2481000,211,0,1,0,0,2733,211,5069,0,0,56,20,1,1,0,1827,7,164,0,12,0,0,3683700,0,1761000,5444700,0,0,0,0,0,0,0
1512,경남,북천 남포 새마을문고,0,0,0,0,0,0,0,1,0,0,500,250,1550,0,0,33,14,0,0,0,313,1,0,0,2,0,0,0,0,500000,500000,0,0,0,0,0,0,0
1513,경남,분성아이파크 작은도서관,1,1,1,1,25400000,0,4,1,1,1,3552,1249,6813,0,0,125,15,1,1,1,25040,80,4200,1,0,0,0,6550000,15530000,3320000,25400000,1,1,52,312,2,104,832
1514,경남,불암동작은도서관,1,0,1,0,20400000,0,2,1,1,1,2670,53,9247,0,4,111,24,1,1,1,6260,20,4200,1,7,0,0,787900,18641800,3730030,23159730,1,1,1,10,2,2,164
1515,경남,빛나는 혁신LH1단지도서관,0,0,0,0,0,0,0,0, , ,0,0,1415,0,0,77,12,1,1,0,2610,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1516,경남,사랑방문고,0,0,1,0,1000000,1000,0,1,0,1,50,120,1000,1,3,99,100,0,0,0,6260,20,0,1,1,0,0,1200000,0,800000,2000000,0,0,0,0,0,0,0
1517,경남,사림평생교육센터,0,0,1,0,0,0,0,1,1,0,7200,200,15252,0,10,664,45,1,4,2,4380,12,4975,2,1,1,0,6450000,52400000,15200000,74050000,1,0,0,0,11,300,1500
1518,경남,사봉글사랑,0,0,0,0,0,0,0,1,0,0,1,40,1350,0,2,49,24,0,0,0,300,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1519,경남,사천함께하는 다문화도서관,0,0,0,0,0,0,0,1,1,0,50,2900,4100,2,5,97,15,1,1,2,1565,5,0,2,6,0,0,500000,0,500000,1000000,1,0,0,0,4,12,12
1520,경남,사파동성마을도서관,0,0,1,3,960000,0,0,1,1,1,9974,582,14531,2,6,96,24,1,2,0,16276,52,4201,1,0,1,0,6000000,25239100,8938320,40177420,0,0,0,0,0,0,0
1521,경남,사파평생교육센터),0,0,1,0,0,30,0,1,1,0,8762,609,15245,0,6,252,32,1,2,4,7300,20,5761,2,0,1,0,6000000,60609000,7972000,74581000,1,2,2,220,4,4,2300
1522,경남,산외면 문고,0,0,0,0,0,0,0,1,0,0,20,0,1250,0,0,58,13,1,0,1,1044,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1523,경남,산청읍 새마을문고,0,0,0,0,0,0,0,1,0,0,250,17,1520,0,0,33,20,0,0,0,1044,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1524,경남,삼가장터3.1광장도서관,0,0,0,0,0,0,0,1,0,0,20,300,3300,0,0,41,20,1,1,0,7200,20,0,1,4,0,0,1500000,0,800000,2300000,0,0,0,0,0,0,0
