지역,도서관명,도서구입비,인건비,운영비,합계
전북 군산시,미룡작은도서관,9375000,36084870,16050000,61509870
전북 군산시,미성작은도서관,9375000,27818620,16050000,53243620
전북 전주시,미소뜰도서관 ,2000000,0,1600000,3600000
전북 무주군,반딧불 작은도서관,5000000,10800000,3600000,19400000
전북 익산시,반석문고,500000,0,0,500000
전북 익산시,배산작은도서관,5000000,12000000,2400000,19400000
전북 진안군,백운 흰구름 작은도서관,5000000,12000000,2400000,19400000
전북 고창군,버들눈도서관,3600000,0,1200000,4800000
전북 장수군,번암작은도서관,1500000,13821000,21020000,36341000
전북 익산시,벧엘 어린이 문고,360000,0,0,360000
전북 순창군,복흥문고,100000,0,0,100000
전북 익산시,봄나루작은도서관,5000000,12000000,2400000,19400000
전북 익산시,부송열린문고,500000,0,0,500000
전북 익산시,부송작은도서관,5000000,14994560,2400000,22394560
전북 정읍시,북면작은도서관,5000000,12000000,6000000,23000000
전북 남원시,빨간사과 작은도서관,5000000,12000000,2400000,19400000
전북 남원시,산내품안문고,2400000,8336000,0,10736000
전북 군산시,산단작은도서관,3383000,12450700,19000000,34833700
전북 장수군,산서문고,0,0,0,0
전북 익산시,삼성어린이작은도서관,5000000,12000000,2400000,19400000
전북 완주군,상관기찻길작은도서관,5000000,1700000,4150000,10850000
전북 정읍시,상동작은도서관,5000000,12000000,6000000,23000000
전북 김제시,새마을 작은 도서관,5000000,13200000,1200000,19400000
전북 남원시,새싹작은도서관,5000000,12000000,2400000,19400000
전북 정읍시,샛별사립문고,0,0,0,0
전북 전주시,서곡주공작은도서관,2400000,0,0,2400000
전북 군산시,서수작은도서관,5000000,5400000,2400000,12800000
전북 익산시,성북작은도서관,5000000,6188040,2400000,13588040
전북 군산시,성원문고,3000000,0,0,3000000
전북 전주시,성원솔로몬문고 ,2500000,0,0,2500000
전북 전주시,세광문고,0,0,0,0
전북 완주군,소양철쭉작은도서관,5000000,1700000,4150000,10850000
전북 군산시,솔내음,600000,0,0,600000
전북 남원시,송동 작은도서관,5000000,12000000,2400000,19400000
전북 전주시,송천뜨란채 도서관 ,6000000,25000000,5000000,36000000
전북 정읍시,수목토작은도서관,5000000,12000000,6000000,23000000
전북 군산시,수미작은도서관,5000000,12000000,2400000,19400000
전북 정읍시,수성작은도서관,5000000,12000000,6000000,23000000
전북 순창군,순창군 문화의집 작은도서관,5000000,0,15420000,20420000
전북 전주시,신일강변아파트 도서관 ,0,0,0,0
전북 김제시,신풍문고,3000000,0,0,3000000
전북 익산시,신황등 어린이문고,0,0,0,0
전북 정읍시,실버작은도서관,5000000,9500000,5500000,20000000
전북 군산시,아가페문고,0,0,0,0
전북 임실군,아낌없이주는나무 작은도서관,5000000,12000000,7400000,24400000
전북 전주시,아르펠리스 작은도서관,0,0,300000,300000
전북 익산시,아름다운 문고,500000,0,0,500000
전북 고창군,아산선운산작은도서관,6000000,6500000,5700000,18200000
전북 군산시,아이소리사립문고,0,0,0,0
전북 전주시,아이파크 도서관,0,0,1200000,1200000
전북 무주군,안성작은도서관,5000000,12000000,2400000,19400000
전북 임실군,안전작은도서관,3000000,0,10000000,13000000
전북 전주시,어깨동무 작은 도서관 ,6000000,0,1200000,7200000
전북 군산시,에덴의쉼터 작은도서관,1615500,0,784500,2400000
전북 전주시,에코르도서문고 ,4800000,8700000,3400000,16900000
전북 전주시,엘리트 작은도서관,600000,0,4200000,4800000
전북 익산시,여산교회문고,0,0,0,0
전북 전주시,열린점자 작은도서관,5000000,0,8400000,13400000
전북 전주시,예다음 작은도서관,5800000,0,0,5800000
전북 익산시,예문열린문고,700000,0,1000000,1700000
전북 익산시,예솔작은도서관,5000000,12900000,2400000,20300000
전북 군산시,예품사립작은도서관,3000000,0,0,3000000
전북 남원시,온누리작은도서관,2000000,0,0,2000000
전북 정읍시,옹달샘작은도서관,2400000,12000000,2800000,17200000
전북 전주시,옹달샘작은도서관 ,6500000,0,6731017,13231017
전북 익산시,왕궁작은도서관,5000000,12000000,2400000,19400000
전북 남원시,외평마을구심문고,2000000,0,0,2000000
전북 전주시,우미린 도서관,1070000,0,1330000,2400000
전북 전주시,우아문화의집작은도서관,5000000,12000000,2400000,19400000
전북 부안군,운호문고,500000,0,0,500000
전북 익산시,울림작은도서관,5000000,12000000,2400000,19400000
전북 군산시,월명작은도서관,9375000,63341960,16050000,88766960
전북 익산시,은총문고,720000,0,0,720000
전북 군산시,은파코아루아파트문고,0,0,0,0
전북 남원시,이그린작은도서관,5000000,12000000,1200000,18200000
전북 완주군,이서배꽃뜰작은도서관,5000000,17000000,4150000,26150000
전북 완주군,이서지역아동센터문고,3000000,0,3000000,6000000
전북 전주시,인후문화의집 작은도서관,5000000,12000000,2400000,19400000
전북 전주시,인후비젼 작은도서관,5000000,12000000,2400000,19400000
전북 전주시,자람터작은도서관,1080000,1200000,783000,3063000
전북 전주시,작은 행복도서관,1200000,0,300000,1500000
전북 장수군,장계문예복지관 작은도서관,2000000,20000000,7500000,29500000
전북 장수군,장수꿈나무사립문고,0,0,0,0
전북 장수군,장수청소년문화의집 작은도서관,20000000,48313000,7200000,75513000
전북 전주시,전주작은도서관,5000000,12000000,2400000,19400000
전북 완주군,정보화마을,1800000,0,2500000,4300000
전북 전주시,조은 작은도서관 ,50000,0,100000,150000
전북 군산시,조촌작은도서관,9375000,19300000,16050000,44725000
전북 전주시,좋은씨앗 작은도서관,3850000,0,0,3850000
전북 군산시,주성열린문고,0,0,0,0
전북 김제시,죽산작은도서관,5000000,12000000,2400000,19400000
전북 전주시,중심교회문고,0,0,0,0
전북 임실군,지사랑작은도서관,5000000,0,8400000,13400000
전북 익산시,지혜를 일구는 라인문고,0,0,0,0
전북 진안군,진안사랑작은도서관,2000000,0,0,2000000
전북 부안군,창북문고,2000000,0,1000000,3000000
전북 군산시,책마을 문고,500000,0,0,500000
전북 남원시,책사랑글사랑한알음문고,2800000,0,0,2800000
전북 전주시,책사랑작은도서관 ,3000000,0,120000,3120000
