지역,도서관명,건물면적,열람석,PC 유무,관리자용 컴퓨터,이용자용 컴퓨터
경기 시흥시,건영1차아파트,101,6,없다,0,0
경기 남양주시,건영리버파크아파트문고,34,40,있다,1,0
경기 용인시,건영캐스빌상앗대문고,85,24,있다,1,0
경기 시흥시,검바위초작은도서관,165,62,있다,2,4
경기 성남시,겨자씨작은도서관,66,20,있다,1,1
경기 양주시,격파병영작은도서관,57,26,없다,0,0
경기 수원시,경기다문화 도서관,66,20,있다,1,0
경기 용인시,경남꿈모아도서관,201,30,있다,1,0
경기 용인시,경남초록작은도서관,175,50,있다,2,0
경기 남양주시,경성큰마을 작은도서관,100,40,있다,1,0
경기 평택시,고궁마을문고,49,10,없다,0,0
경기 연천군,고대산병영도서관,109,24,있다,1,0
경기 수원시,고등동 새마을문고,82,30,있다,1,0
경기 부천시,고리울꿈터작은도서관,97,21,있다,2,1
경기 용인시,고매2통 작은도서관,165,36,있다,1,0
경기 고양시,고양 작은도서관,172,54,있다,1,1
경기 고양시,고양윤창 작은도서관,110,33,있다,1,1
경기 오산시,고인돌도서관,93,30,있다,1,0
경기 안산시,고잔2동당곡작은도서관,429,100,있다,2,3
경기 안산시,고잔차세대작은도서관,50,15,있다,1,5
경기 김포시,고촌 작은도서관,176,20,있다,2,3
경기 오산시,고현초도서관,169,30,있다,1,2
경기 수원시,곡선동 새마을문고,51,13,있다,1,0
경기 김포시,곡촌마을 다솜 작은도서관,42,6,없다,0,0
경기 성남시,공감의 뜰작은도서관,33,10,없다,0,0
경기 군포시,공군 제8249부대,58,24,있다,1,0
경기 안성시,공도새마을문고 청소년공부방,330,100,있다,2,5
경기 시흥시,공룡도서관(거모복지관),112,15,없다,0,0
경기 수원시,공부잘하는 독서학교,39,9,있다,2,2
경기 고양시,관산 작은도서관,198,20,있다,1,1
경기 고양시,관산주공아파트도서관,75,13,있다,1,0
경기 안양시,관양2동 주민센터,43,15,있다,0,1
경기 포천시,관인작은도서관,458,51,있다,4,1
경기 수원시,광교동 새마을문고,71,12,있다,1,0
경기 수원시,광교해모로 숲속작은도서관,90,20,있다,1,0
경기 수원시,광교호반 책마루도서관,78,24,있다,1,0
경기 광명시,광남새마을금고 소하지점 작은도서관,100,30,있다,1,0
경기 광명시,광남새마을금고 작은도서관,59,27,있다,1,0
경기 광명시,광명6동 작은도서관,44,28,있다,1,0
경기 광명시,광명드림스타트 새싹도서관,90,32,있다,2,0
경기 광명시,광명역세권4단지 작은도서관,52,18,있다,1,0
경기 광명시,광명옹달샘도서관,252,70,있다,7,3
경기 광명시,광명한우리독서 작은도서관,66,25,있다,1,1
경기 수원시,광민작은도서관,212,8,없다,0,0
경기 수원시,광성꿈나무도서관,36,6,있다,2,8
경기 고양시,광성북카페,181,50,있다,1,0
경기 광명시,광일 작은도서관,45,21,없다,0,0
경기 양주시,광적농협작은도서관,33,20,있다,1,0
경기 파주시,광탄작은도서관,78,20,있다,1,0
경기 구리시,교문2동작은도서관,250,12,있다,2,4
경기 김포시,구래 작은도서관,125,16,있다,2,3
경기 광명시,구름산햇빛 작은도서관,164,30,있다,1,1
경기 안양시,구름울 ,99,10,있다,0,1
경기 구리시,구리 한우리 독서문화원,76,6,없다,0,0
경기 성남시,구미1동작은도서관,40,20,있다,0,1
경기 안산시,구세군다문화꿈꾸는작은도서관,33,12,없다,0,0
경기 여주시,구세군작은도서관,83,12,있다,3,11
경기 포천시,구세군포천교회작은도서관,131,25,없다,0,0
경기 수원시,구운동새마을문고,49,42,있다,1,0
경기 양주시,국군병원작은도서관,99,50,있다,1,0
경기 군포시,군포경찰서작은도서관,33,7,있다,1,0
경기 군포시,군포새마을문고,99,20,없다,0,0
경기 용인시,굿모닝 작은도서관,181,24,있다,3,1
경기 군포시,궁내동작은도서관,72,10,있다,1,0
경기 남양주시,궁의문도서실,64,20,있다,2,0
경기 수원시,권선1동 새마을문고,81,12,있다,1,0
경기 수원시,권선2동 새마을문고,33,15,있다,1,0
경기 고양시,권율 작은도서관,147,46,있다,1,1
경기 안양시,귀인동주민센타,33,10,있다,0,1
경기 김포시,그루터기 작은도서관,115,20,있다,1,1
경기 용인시,그루터기도서관,90,25,있다,1,0
경기 부천시,글마루작은도서관,186,45,있다,3,2
경기 양주시,글마루작은도서관,102,26,있다,1,0
경기 양주시,글벗작은도서관,68,36,있다,1,0
경기 의왕시,글빛도서관,63,13,있다,1,0
경기 수원시,글샘작은도서관,89,30,있다,1,0
경기 파주시,글향기도서관,163,60,있다,1,0
경기 고양시,글향기도서관,99,40,있다,1,0
경기 화성시,글향기도서실,90,36,있다,1,0
경기 성남시,글향기작은도서관,105,12,있다,1,0
경기 파주시,금곡작은도서관,247,90,있다,1,0
경기 남양주시,금곡푸른꿈작은도서관,178,19,있다,3,1
경기 성남시,금광2동작은도서관,49,15,있다,1,1
경기 오산시,금암마을 5단지 도서관,50,20,있다,1,0
경기 군포시,금정작은도서관,63,20,있다,1,1
경기 수원시,금호동새마을문고,93,20,있다,1,0
