지역,도서관명,연간 증가 장서 수,총 보유 장서 수,연간 증가 연속간행물 수,현재 총 보유 연속간행물 수
부산 해운대구,송정도서관,500,3000,0,0
부산 동구,수정중앙문고,0,4500,0,0
부산 부산진구,숨바꼭질 작은도서관,200,4800,1,1
부산 해운대구,스위첸작은도서관,1513,3674,0,0
부산 강서구,시민책방작은도서관,1000,4000,10,23
부산 북구,시온성 작은도서관,76,4528,0,1
부산 부산진구,신개금엘지작은도서관,1796,11841,0,0
부산 기장군,신동아파밀리에도서실,430,8000,3,3
부산 해운대구,신일 꿈나무 작은도서관,0,1500,0,0
부산 사하구,신평꿈꾸는작은도서관,863,7049,0,0
부산 해운대구,아이를사랑하는작은도서관,4000,4000,0,0
부산 연제구,아이마루 작은도서관,235,3850,1,1
부산 강서구,아인슈타인타운책벌레작은도서관,400,3445,12,12
부산 동래구,안락2동 새마을문고,0,4000,0,0
부산 부산진구,양정2동작은도서관,243,5762,0,0
부산 해운대구,어깨동무책방,500,1800,0,0
부산 서구,어린왕자 작은도서관,120,6500,2,2
부산 서구,어린이&가족도서관 꿈꾸는 글나라,300,8041,0,2
부산 부산진구,어린이도서관동화랑놀자,600,13600,3,13
부산 서구,어울림 작은도서관,378,4632,0,0
부산 영도구,어울림마당작은도서관,300,3300,0,0
부산 해운대구,어진이작은도서관,3846,3846,0,0
부산 사상구,엄궁 쌈지 작은도서관,454,10620,0,1
부산 강서구,에디슨타운책벌레작은도서관,300,2800,0,0
부산 사하구,에코작은도서관,194,4878,0,0
부산 연제구,연산3동 새마을문고 밤골 작은도서관,606,10347,3,3
부산 연제구,연산4동새마을문고해뜰작은도서관,1341,16169,0,0
부산 연제구,연제가족도서원,1000,5000,1,4
부산 부산진구,연지동작은도서관(2012.9.6 개관),400,6200,0,0
부산 사상구,열린 작은도서관,80,1400,1,1
부산 부산진구,열린도서관,1600,10000,1,2
부산 부산진구,열린문도서관,50,2400,0,2
부산 영도구,영선2동 풀잎작은도서관,1400,11000,0,0
부산 기장군,예닮책마을,360,4867,11,11
부산 금정구,예일솔로몬문고,450,4510,1,1
부산 북구,오뚜기 작은도서관,473,18540,0,0
부산 사하구,옥토어린이문고,200,3000,2,2
부산 동래구,온고지신 작은도서관,2183,4480,0,2
부산 동래구,온천1동 새마을문고,116,5437,0,0
부산 동래구,온천2동 새마을문고,149,7000,0,0
부산 해운대구,우1동새마을작은도서관,215,4000,0,0
부산 연제구,우리동네작은도서관,150,4560,0,0
부산 사하구,원더풀 작은도서관,0,2000,0,0
부산 연제구,월드메르디앙 작은도서관,700,11804,0,2
부산 금정구,유니세프 작은도서관,1190,4790,0,0
부산 북구,율리작은도서관,2200,2200,0,0
부산 사하구,은항쉐마도서관,500,13000,0,0
부산 영도구,은혜도서관,1000,4000,0,0
부산 금정구,이야기동동 작은도서관,1793,11743,2,2
부산 기장군,이진캐스빌블루1차,150,1500,4,4
부산 연제구,인문학 북카페 동행,2000,2000,0,0
부산 동래구,인성 작은도서관,100,1600,1,1
부산 동래구,일곱빛깔 작은도서관,500,1500,12,1
부산 동래구,일희망 작은도서관,366,2005,0,0
부산 남구,작은나무숲,1800,3000,0,1
부산 부산진구,작은도서관 꿈자람,1781,6445,2,4
부산 남구,작은여울 도서관,50,1300,0,0
부산 해운대구,작은인문학도서관,873,8715,16,16
부산 해운대구,재반작은도서관,280,2600,0,0
부산 해운대구,재송1동새마을작은도서관,210,15000,0,0
부산 해운대구,재송2동새마을작은도서관,530,8000,0,0
부산 영도구,절영 작은도서관,2000,3000,10,10
부산 기장군,정관동일2차 북카페,2300,4600,0,0
부산 기장군,정관휴먼시아2단지 작은도서관,1113,3372,0,0
부산 해운대구,좌1동새마을작은도서관,400,11000,0,0
부산 해운대구,좌2동새마을작은도서관,300,10603,0,0
부산 해운대구,좌3동새마을작은도서관,150,1200,0,10
부산 해운대구,좌4동새마을작은도서관,331,5688,0,0
부산 사상구,주례쌈지작은도서관,400,12860,0,1
부산 해운대구,중1동새마을작은도서관,209,3537,0,0
부산 해운대구,지식의 창고 작은도서관,56,2543,0,1
부산 금정구,지혜의 샘,200,4800,0,0
부산 부산진구,지혜의 샘 문고,200,3000,2,5
부산 서구,짬짬이 작은도서관,1567,1567,0,0
부산 부산진구,찬누리작은도서관,240,9266,0,0
부산 남구,참사랑도서관,0,1500,0,0
부산 중구,책갈피 작은도서관,282,12209,0,2
부산 강서구,책나무 작은도서관,551,6000,0,0
부산 남구,책나무그늘,800,11569,0,1
부산 남구,책나무그늘 작은도서관,800,11569,0,1
부산 사상구,책누리작은도서관,548,8739,0,0
부산 부산진구,책마루작은도서관,838,3837,0,0
부산 동래구,책마을 작은도서관,886,10518,4,4
부산 영도구,책바다작은도서관,548,6200,0,0
부산 서구,책사랑작은도서관,400,6000,3,3
부산 해운대구,책사랑작은도서관,1300,1300,0,0
부산 금정구,책읽는 세상,200,5600,0,0
부산 해운대구,천초작은도서관,3000,5269,10,7
부산 기장군,청강책쉼터,0,2100,0,0
부산 남구,청소년쉼터도서관,200,7000,0,0
부산 동구,초량중앙문고,50,5000,0,0
부산 사하구,초록꿈 작은도서관,303,6264,0,0
부산 동구,초록우산 어린이북카페,301,4200,3,4
부산 서구,초장동꿈터작은도서관,110,12517,0,0
부산 기장군,칠암작은도서관,0,5245,0,0
부산 사하구,큰마루 공부방,400,2800,2,6
부산 금정구,큰뿌리독서원,500,3000,0,0
부산 서구,포도나무 도서관,100,2000,0,0
부산 사하구,푸른누리작은도서관,1057,6658,0,0
부산 강서구,하늘나무작은도서관,0,1100,0,1
부산 사하구,하단쉼터 도서관,285,5285,0,0
부산 부산진구,한국독서대학도서관,0,3200,1,0
부산 기장군,한빛책나눔터,500,11800,0,0
부산 영도구,한울마당 작은도서관,422,7221,0,0
부산 사상구,한울타리 작은도서관,70,1320,0,0
부산 사상구,함께하는 작은도서관,0,1200,0,0
부산 기장군,해모로도서관,1775,13030,0,3
부산 해운대구,해운대세계작은도서관,865,8393,5,5
부산 해운대구,해운어린이작은도서관,2170,2170,2,2
부산 사상구,햇살나무작은도서관,200,9200,0,1
부산 사하구,행복나눔 작은도서관,300,5500,0,10
부산 사하구,행복나무 작은도서관,434,2962,0,1
부산 부산진구,행복마을작은도서관,258,3415,0,0
부산 중구,행복이가득한도서관,150,1200,0,0
부산 기장군,행복작은도서관,100,3500,2,2
부산 남구,행복한 문고,200,1539,0,0
부산 서구,향기나는 작은도서관,349,3513,0,0
부산 기장군,현진에버빌 Book-Caf？,1600,6000,1,1
부산 영도구,홀리조이작은도서관,100,1500,0,0
부산 북구,화명수목원 숲속 작은도서관,500,4000,0,0
부산 북구,화명종합사회복지관 어린이도서관,364,6549,0,6
부산 사하구,회화나무작은도서관,818,9427,0,0
부산 부산진구,훈민정음작은도서관,400,3500,1,3
부산 기장군,휴먼시아1단지 책사랑문고,1500,6020,0,5
부산 해운대구,희망풍차작은도서관,1938,4641,0,0
서울 은평구,6단지 상림문고,290,7615,1,1
서울 서대문구,DMC래미안e편한세상아파트 1블럭작은도서관,1970,2410,0,0
서울 서대문구,DMC래미안e편한세상아파트 2블럭작은도서관,2133,2394,0,0
서울 서대문구,DMC래미안e편한세상아파트 3블럭작은도서관,3200,3500,0,0
서울 송파구,KSPO수영장도서관,805,6565,0,6
서울 서초구,LH서초3단지 행복도서관,1500,1500,0,0
서울 서초구,LH서초4단지 작은도서관,2000,2000,0,0
서울 강북구,cms영어 작은도서관,200,4000,0,0
서울 동대문구,sk북카페 꿈땅,3600,3600,1,1
서울 송파구,가락2동새마을문고,100,2000,9,9
서울 송파구,가락본동새마을문고,300,5837,0,0
서울 구로구,가리봉동 마을문고,745,12164,0,0
서울 노원구,가온작은도서관,1212,12387,0,0
서울 노원구,가재울작은도서관,1054,15797,0,0
서울 은평구,갈현1동 문화의집 문고,222,7707,0,1
서울 강동구,강동육아누리도서관,636,3861,0,0
서울 강서구,강변월드작은도서관,10,2378,0,0
서울 강북구,강북마을학교 밝빛작은도서관,800,4983,0,0
서울 양천구,강서성결어린이도서관,100,2000,0,0
서울 양천구,강서제일어린이문고,120,5700,0,0
서울 강동구,강일9단지 누리도서관,200,2700,0,0
서울 강동구,강일동 마을문고,792,7335,2,2
서울 강동구,강일리버파크6단지 책향기문고,520,4223,0,1
서울 구로구,개봉2동  새마을문고,383,9608,0,0
서울 구로구,개봉3동 마을문고,448,7110,0,0
서울 양천구,개울작은도서관,0,0,0,0
서울 강남구,개포1동 작은도서관,455,7915,0,0
서울 강남구,개포4동 작은도서관,222,7429,0,0
서울 송파구,거여1동새마을문고,300,7840,0,0
서울 강동구,고덕리엔파크3단지 SH 작은도서관,1000,7229,1,1
서울 강동구,고덕마을도서관,1000,2000,0,0
서울 용산구,고래이야기,500,5611,0,0
서울 양천구,고맙습니다 신정3동작은도서관,2500,7812,0,0
서울 관악구,고맙습니다 하난곡 작은도서관,1889,8350,2,27
서울 구로구,고척1동 마을문고,394,8839,1,1
서울 구로구,고척2동 마을문고,754,7350,0,0
서울 구로구,고척교회도서관 책마을,1290,13970,0,4
서울 성북구,곰세마리 어린이 도서관,290,11362,3,12
서울 마포구,공간민들레 청소년도서관,0,2690,0,20
서울 마포구,공감작은도서관,2500,2500,3,3
서울 마포구,공덕동문고(마실길북카페),291,1974,0,0
서울 관악구,관악산 시도서관,265,4772,1,1
서울 광진구,광장동 새마을작은도서관,147,6331,0,0
서울 광진구,광장현대파크빌도서관,0,1800,0,0
서울 구로구,광진도서실,550,10142,0,0
서울 구로구,구로1동 마을문고,634,11692,0,0
서울 구로구,구로2동 마을문고,430,11628,0,0
서울 구로구,구로4동 마을문고,557,10585,0,0
서울 구로구,구로5동 마을문고,453,9789,0,0
서울 관악구,구립신림청소년독서실,90,8523,0,0
서울 동작구,구립약수작은도서관,1736,14698,12,12
서울 강서구,구암마을 작은도서관,802,5844,3,3
서울 광진구,구의1동 새마을작은도서관,460,5526,0,0
서울 광진구,구의2동 새마을작은도서관,457,7407,0,0
서울 은평구,구파발10단지 제2작은도서관,120,2352,0,0
서울 광진구,군자동 새마을작은도서관,198,7616,0,0
서울 양천구,그루터기(신정이펜하우스2단지),400,3700,0,0
서울 광진구,그루터기문고,600,9978,0,0
서울 송파구,글길 작은도서관,500,5000,0,0
서울 노원구,글꽃문고,0,1737,0,0
서울 용산구,글로벌아동도서관(서울목민아동),200,1700,2,3
서울 강동구,글마루 작은도서관,748,7094,0,0
서울 양천구,글바라기(신정이펜하우스1단지),2091,5091,0,0
서울 강서구,글벗누리 작은도서관(주민문고),491,6601,0,1
서울 노원구,글빛작은도서관,140,1600,1,1
서울 구로구,금강수목원아파트 작은 도서관,532,4467,2,2
서울 노원구,금빛도서관,350,1800,2,5
서울 성동구,금호1가동 북카페 책단지꿀단지,136,4053,1,1
서울 성동구,금호2.3가어린이작은도서관,398,8302,0,1
서울 성동구,금호4가 어린이작은도서관,167,6793,1,1
서울 중랑구,기둥문고,162,2300,2,2
서울 양천구,기쁨을나누는작은도서관,50,2300,0,0
서울 성북구,기쁨이 자라는 작은도서관,1300,3900,0,4
서울 구로구,길:작은도서관,4000,4000,0,0
서울 성북구,길상도서관,340,11750,0,12
서울 구로구,길숲도서관,300,5700,1,1
서울 성북구,길음 동부센트레빌 어린이글마당,267,3365,0,3
서울 성북구,길음1동 새마을문고,545,6687,0,0
서울 성북구,길음2동 새마을문고,300,8000,0,0
서울 성북구,길음뉴타운 푸르지오 도서관,1023,16300,3,3
서울 동작구,까망돌어린이도서관,600,6142,0,0
서울 은평구,꿈 어린이도서관,256,5320,0,6
서울 동대문구,꿈꾸는 도서관,1000,5380,0,0
서울 중랑구,꿈꾸는 도서관,800,3800,0,1
서울 양천구,꿈꾸는 도서관,2000,5000,5,5
서울 금천구,꿈꾸는 작은도서관,137,5040,0,0
서울 송파구,꿈꾸는 작은도서관,1,3200,1,1
서울 용산구,꿈꾸는 책마을,300,3068,0,0
서울 종로구,꿈꾸는 평창동 작은도서관,467,4345,4,11
서울 은평구,꿈꾸는i작은도서관,5902,5902,1,1
서울 강북구,꿈꾸는문고,50,2900,1,4
서울 노원구,꿈꾸는샘터작은도서관,359,3887,0,0
서울 구로구,꿈꾸는언덕 작은도서관(천왕 1단지),270,2900,4,4
서울 노원구,꿈꾸는작은도서관,1277,13209,0,0
서울 구로구,꿈꾸는작은도서관,0,1000,0,0
서울 강북구,꿈나무문고,56,2583,0,0
서울 동대문구,꿈마루 도서관,1650,14590,0,11
서울 관악구,꿈마을도서관,1937,13457,2,10
서울 양천구,꿈사다리도서관,100,2500,0,0
서울 성동구,꿈샘 작은도서관,331,3810,0,6
서울 금천구,꿈씨 어린이 작은도서관,1030,11103,0,0
서울 마포구,꿈을 이루는 작은도서관,1059,15536,0,4
서울 도봉구,꿈을심는 작은도서관,10,3500,5,15
서울 성북구,꿈의숲푸르지오 키즈&맘북카페,393,3386,0,0
서울 영등포구,꿈이있는 도서관,350,1200,0,4
서울 강서구,꿈이있는어린이도서관,697,9651,1,1
서울 서대문구,꿈이있는작은도서관,283,7163,0,0
서울 강서구,꿈자람책놀이터,1944,10646,0,0
서울 은평구,꿈지락작은도서관,300,5000,1,5
서울 성동구,꿈터 어린이도서관,78,1677,1,1
서울 성북구,꿈터 어린이도서관,300,2990,0,2
서울 강서구,꿈터 작은도서관,478,6576,2,5
서울 구로구,꿈터 작은도서관(천왕 6단지),500,4500,2,2
서울 성북구,꿈틀도서관,547,6978,3,6
서울 중랑구,꿈틀열매 작은도서관,150,1950,1,2
서울 동대문구,나누리도서관,100,1500,1,1
서울 금천구,나누리작은도서관,606,7321,2,2
서울 노원구,나눔작은도서관,826,10803,0,0
서울 도봉구,나눔플러스 아름인도서관,300,3600,0,0
서울 동대문구,나들목가족도서관,980,16653,0,8
서울 용산구,나루 이촌북카페,3537,3537,6,6
서울 양천구,나무그늘(신정이펜하우스3단지),800,6800,2,2
서울 종로구,나무와 열매 어린이 도서관,300,4200,1,1
서울 관악구,낙성대공원 도서관,335,4653,0,0
서울 관악구,낙성대동 우듬지 작은도서관,462,4987,0,0
서울 관악구,난곡동 책사랑 작은도서관,240,7453,0,0
서울 관악구,난곡주민도서관 새숲,901,14292,2,14
서울 관악구,난향동 뜰안에 작은도서관,377,8634,0,0
서울 광진구,날마다자라는나무,100,6500,0,0
서울 서대문구,남가좌상성래미안아파트푸른북가페,250,8000,1,1
서울 용산구,남영동 새마을문고,183,8632,0,0
서울 관악구,남현동 우리 작은도서관,394,9637,0,0
서울 서초구,내곡동 작은도서관,983,11671,0,0
서울 강서구,내발산작은도서관,236,5814,0,0
서울 서초구,너나울 도서관,2000,4500,2,2
서울 서초구,네이처힐3단지작은도서관(꿈찾는도서관),1000,8000,4,4
서울 서초구,네이처힐4단지작은도서관,1230,4619,2,4
서울 서초구,네이처힐5단지작은도서관,2777,6060,1,6
서울 서초구,네이처힐6단지 작은도서관,2881,2881,0,0
서울 서초구,네이처힐가든 작은도서관,48,2150,0,0
서울 동작구,노량진1동마을문고,184,2416,0,0
서울 동작구,노량진2동마을문고,229,2223,0,0
서울 노원구,노원문화원작은도서관,1016,18023,0,0
서울 은평구,녹번동 문화사랑방,150,1500,0,0
서울 마포구,늘푸른소나무 작은도서관,884,17214,2,8
서울 서대문구,늘푸른열린작은도서관,357,4229,0,0
서울 광진구,능동 새마을작은도서관,201,9157,0,0
서울 금천구,다락방 작은도서관,149,2710,0,0
서울 은평구,다문화도서관바오밥나무,491,1591,1,1
서울 중구,다산동 새마을작은도서관,334,14643,1,7
서울 관악구,다서원,113,3600,0,0
서울 은평구,다섯콩도서관,1147,9779,6,8
서울 성북구,다슬도서관,364,13787,1,3
서울 용산구,다시서기문고,120,1820,0,0
서울 동대문구,다양한문화가모이는 어린이도서관 모두,685,20319,2,6
서울 송파구,다우리 작은도서관,1000,2000,1,2
서울 강남구,다움 영어 도서관,5066,5066,6,6
서울 용산구,단꿈작은도서관,300,10000,0,0
서울 강북구,단비소리,200,2500,0,5
서울 노원구,달내작은도서관,848,10475,0,0
서울 양천구,달마을작은도서관(구 목2동 도서방),1200,8441,2,2
서울 동작구,담쟁이 작은도서관,0,1200,0,0
서울 구로구,담쟁이넝쿨도서관,300,1200,1,2
서울 동대문구,답십리2동 민들레 작은도서관,4819,4819,0,0
서울 영등포구,당산1동 새마을공립작은도서관,220,9094,0,0
서울 영등포구,당산2동 새마을공립작은도서관,418,6489,0,0
서울 영등포구,당성책세상우리세상문고,300,2400,8,15
서울 영등포구,대길열린문고,479,10957,0,1
서울 영등포구,대림1동새마을공립작은도서관,210,12211,0,0
서울 영등포구,대림2동 새마을공립작은도서관,306,9856,0,1
서울 영등포구,대림3동 새마을공립작은도서관,243,11127,0,0
서울 영등포구,대림동 작은 마을 문고,100,2500,4,8
서울 동작구,대방동마을문고,65,2612,0,0
서울 은평구,대조꿈나무어린이도서관,126,13936,1,1
서울 은평구,대조제일교회꿈꾸는도서관,670,7281,2,7
서울 강남구,대치1 작은도서관,1949,20380,0,1
서울 관악구,대학동 녹두 작은도서관,393,3548,0,0
서울 송파구,대한체육회 작은도서관,1000,16000,0,30
서울 중랑구,데시앙책울터,3000,13304,0,0
서울 강남구,도곡2동 작은 도서관,517,6355,0,0
서울 강동구,도담도담북카페,649,10750,0,2
서울 종로구,도담도담한옥도서관,3134,3134,0,0
서울 금천구,도란도란 작은도서관,281,6294,0,0
서울 강서구,도란도란쉼터 작은도서관,420,7317,0,3
서울 노원구,도란도란작은도서관,253,12091,0,0
서울 강서구,도리샘 작은도서관,1470,5015,0,0
서울 영등포구,도림도서관,474,16310,0,10
서울 영등포구,도림동새마을 공립작은도서관,241,9593,0,0
서울 관악구,도림천에서 용나는 작은도서관,0,3608,0,3
서울 도봉구,도봉1동 공립 작은도서관,480,11400,0,0
서울 도봉구,도봉2동 공립 작은도서관,480,10400,0,0
서울 도봉구,도봉구청행복작은도서관,800,23568,0,0
서울 성북구,돈암2동 새마을문고,330,8098,0,0
서울 서대문구,돈의문센트레빌작은도서관,250,3026,0,0
서울 영등포구,동네작은도서관,1034,2234,1,1
서울 동대문구,동대문구 문화회관 자료정보실,204,29500,0,0
서울 성북구,동선동 새마을문고,327,7061,0,0
서울 성북구,동선문고,92,3338,4,6
서울 중랑구,"동성1,2차아파트문고",266,2325,0,0
서울 중랑구,동성3차아파트문고,436,6713,1,2
서울 동작구,동작샘터도서관,867,19862,0,9
서울 중구,동화동 새마을작은도서관,357,14641,3,12
서울 영등포구,두껍아두껍아 어린이도서관,220,3800,1,1
서울 영등포구,두날개작은도서관,500,1500,0,0
서울 노원구,두레마을작은도서관,804,12387,0,0
서울 관악구,두리하나 작은도서관,300,4300,3,7
서울 종로구,두산아파트 새마을문고,1200,4700,2,4
서울 중랑구,두산화성문고,456,9216,0,0
서울 강동구,둔촌1동 마을문고,324,11607,0,0
서울 강동구,둔촌2동 마을문고,335,6699,0,0
서울 구로구,둘레길 작은도서관(천왕 4단지),300,1300,0,1
서울 동대문구,둥그레문고,2691,7120,2,4
서울 강서구,등마루골 작은도서관,413,6583,3,4
서울 강서구,등불작은도서관,110,2500,3,3
서울 강서구,등촌아이파크 도서관,648,10870,0,0
서울 도봉구,라온제나 작은도서관,190,3100,1,1
서울 강서구,람원도서관,990,9857,1,11
서울 성북구,래미안 석관북카페,395,4350,1,3
서울 동작구,래미안상도3차아파트문고,0,7871,0,0
서울 중랑구,로뎀문고,229,2723,0,5
서울 구로구,로즈빌도서관,500,2469,0,0
서울 강동구,롯데캐슬도서관,1188,13167,0,0
서울 은평구,롯데캐슬문고,300,5100,1,1
서울 서초구,리본SH 작은도서관,400,1980,0,0
서울 양천구,마을도서관(학마을2단지),0,2000,0,0
서울 성동구,마장동 작은도서관,2894,7172,1,1
서울 구로구,마중물 도서관,200,1300,0,0
서울 송파구,마천1동새마을문고,300,6415,0,0
서울 중랑구,만나문고,200,3000,7,9
서울 금천구,맑은누리 작은도서관,851,8665,0,0
서울 은평구,매바위 북카페,469,2469,0,0
서울 노원구,메아리작은도서관,853,10300,0,0
서울 강동구,명일2동 마을문고,304,8745,0,0
서울 서대문구,명지어린이영어도서관,50,3180,0,0
서울 양천구,목1동 도서방,408,5507,0,0
서울 양천구,목3동꿈자람작은도서관,1524,8736,0,0
서울 양천구,목4동 도서방,403,9821,0,0
서울 성북구,목자도서관,200,3500,0,1
서울 구로구,몽당연필도서관,119,5511,0,0
서울 종로구,무악다솜방,705,3784,0,0
서울 은평구,무지개영어도서관,200,2500,0,0
서울 성동구,무학도서관,736,15676,0,2
서울 영등포구,문래동새마을공립작은도서관,429,11436,0,0
서울 송파구,문정1동새마을문고,300,7264,1,1
서울 송파구,문정작은도서관,200,1400,0,3
서울 서대문구,문화촌어린이도서관,632,13340,0,0
서울 은평구,물빛마을글방,161,7114,0,0
서울 종로구,뭐든지 도서관,193,3200,1,2
서울 금천구,미래꿈꾸는 작은도서관,100,2000,2,2
서울 관악구,미성동 책의향기 작은도서관,462,5222,0,0
서울 강북구,미아동 새마을문고,241,4577,0,0
서울 은평구,바다의별 작은도서관,3592,3592,0,1
서울 노원구,반디작은도서관,993,12059,0,0
서울 영등포구,반딧불어린이도서관,502,11831,0,0
서울 도봉구,반딧불이작은도서관,240,5564,0,0
서울 강동구,반딧불작은도서관,716,6640,0,0
서울 강동구,반석도서관,500,10000,2,8
서울 서초구,반포1동 작은도서관,812,16018,0,0
서울 서초구,반포2동 작은도서관,712,7998,4,4
서울 서초구,반포3동 작은도서관,1134,17644,6,21
서울 서초구,반포4동 작은도서관,607,11435,0,0
서울 서초구,반포본동 작은도서관,1039,14358,0,0
서울 강서구,발음도서관,2179,9385,7,9
서울 강북구,밝은문고,100,4500,0,3
서울 강서구,방그리나작은도서관,570,3634,0,5
서울 서초구,방배1동 작은도서관,300,14553,0,0
서울 서초구,방배2동 작은도서관,574,13314,3,4
서울 서초구,방배3동 작은도서관,355,12487,0,0
서울 서초구,방배4동 작은도서관,460,13000,0,0
서울 서초구,방배마을작은도서관,200,2200,0,0
서울 서초구,방배본동 작은도서관,90,29026,0,0
서울 송파구,방이1동새마을문고,300,10439,0,0
서울 송파구,방이2동새마을문고,300,7276,0,0
서울 도봉구,방학1동 공립 작은도서관,480,10200,0,0
서울 도봉구,방학2동 공립 작은도서관,480,10200,0,0
서울 도봉구,방학3동 공립 작은도서관,500,21005,0,0
서울 도봉구,방학청구아파트도서실,0,12000,0,0
서울 구로구,배꼽빠지는 도서관,300,3500,1,3
서울 강서구,배다리 작은도서관,1560,6960,2,4
서울 성북구,배바위골도서관,535,2373,0,0
서울 은평구,백련산힐스 작은도서관,290,3000,1,1
서울 용산구,백합어린이도서관,1148,10011,0,0
서울 강북구,번1동 새마을문고,364,4794,0,0
서울 강북구,번3동 새마을문고,130,3800,0,0
서울 강북구,벧엘도서관,300,3500,0,0
서울 은평구,벧엘사랑문고,120,3521,0,0
서울 성북구,별빛 작은도서관,300,6200,0,2
서울 강북구,별빛초롱문고,386,4000,0,0
서울 강서구,볏고을작은도서관,161,5076,0,0
서울 동작구,보라매e편한세상작은도서관,244,3328,2,2
서울 관악구,보라매동 다사랑 작은도서관,390,6452,0,0
서울 성북구,보문동 새마을문고,174,6963,0,0
서울 마포구,복사골작은도서관,1527,10415,0,6
서울 은평구,복합문화공간[__틈],87,1487,2,2
서울 동작구,본동작은도서관,1010,4624,2,4
서울 관악구,봉천5동작은문고,1200,4200,5,5
서울 관악구,봉현 작은 도서관,1164,10593,0,0
서울 영등포구,북마크 어린이도서관,650,10000,1,2
서울 용산구,북카페 두드림,1692,1724,0,0
서울 용산구,북카페 라온아토,4800,4800,0,0
서울 용산구,북카페 자유다,284,3273,4,4
서울 용산구,북카페 청마루,500,4500,0,0
서울 마포구,북트립어린이영어도서관,3636,3636,0,0
서울 도봉구,북한산아이파크독서당,296,15179,0,0
서울 은평구,북한산힐스테이트1차아파트문고,120,2900,0,0
서울 은평구,불광2동 자치회관문고(불광2동 주민센터),0,4257,0,0
서울 종로구,불교영어도서관,50,2300,0,0
서울 관악구,블루밍문고,850,13063,0,4
서울 은평구,비전뜰 도서관,120,2200,0,0
서울 노원구,빛글북카페,823,11145,0,0
서울 송파구,쁘레네 작은도서관 별찌,100,2000,0,0
서울 성동구,사근동 어린이놀이터도서관,228,4800,1,1
서울 동작구,사당1동마을문고,100,3531,0,0
서울 동작구,사당2동마을문고,203,4072,0,0
서울 동작구,사당3동마을문고,80,2619,0,0
서울 동작구,사당4동마을문고,153,2252,1,1
서울 동작구,사당5동마을문고,287,1643,1,1
서울 관악구,사랑기쁨도서관,1100,2500,2,2
서울 은평구,사랑방 작은도서관,1300,1300,0,0
서울 양천구,사랑방문고(신정이펜5단지),0,2000,0,0
서울 금천구,산돌어린이도서관,700,15300,5,5
서울 강북구,삼각산동 새마을문고,300,8000,0,0
서울 성북구,삼선동 새마을문고,313,4066,0,0
서울 성북구,삼선푸르지오 작은도서관,200,6100,0,0
서울 강남구,삼성도서관,1602,19270,0,9
서울 관악구,삼성동 샛별 작은도서관,406,6199,0,0
서울 관악구,삼성작은도서관,661,10223,0,0
서울 강북구,삼양동 새마을문고,292,5032,0,0
서울 송파구,삼전동새마을문고,300,9153,0,0
서울 노원구,삼창도서관,200,3000,1,1
서울 종로구,삼청공원 숲속도서관,482,5533,0,0
서울 종로구,삼청동 새마을문고,73,3176,0,0
서울 노원구,상계숲속작은도서관,8203,8203,16,16
서울 노원구,상계주공14단지아파트 문화사랑방도서실,570,6100,0,0
서울 동작구,상도1동마을문고,548,4857,1,12
서울 동작구,상도2동마을문고,94,2910,0,0
서울 동작구,상도3동마을문고,109,3164,0,0
서울 동작구,상도4동마을문고,232,3736,0,0
서울 동작구,상도SH-Ville작은도서관,239,2939,0,0
서울 동작구,상도더샵아파트 작은도서관,204,3951,0,0
서울 동작구,상도중앙 작은도서관,0,1200,0,0
서울 은평구,상림글방,345,3024,0,0
서울 은평구,상림마을작은도서관,2300,27745,0,14
서울 마포구,상암동문고,500,7212,0,0
서울 마포구,상암월드컵파크11단지도서관,284,3940,1,2
서울 마포구,상암월드컵파크7단지도서관,1000,4000,0,8
서울 강동구,상일동 마을문고,329,9015,0,0
서울 구로구,새광명도서관,200,5200,0,0
서울 중랑구,새로운어린이도서관,220,6840,0,0
서울 중랑구,새마을문고망우3동분회 작은도서관,200,7600,0,0
서울 중랑구,새마을문고망우본동분회 작은도서관,200,13170,0,0
서울 중랑구,새마을문고면목2동분회 작은도서관,200,6868,0,0
서울 중랑구,새마을문고면목3.8동분회 작은도서관,200,4000,0,0
서울 중랑구,새마을문고면목4동분회 작은도서관,200,8085,0,0
서울 중랑구,새마을문고면목5동분회 작은도서관,200,8780,0,0
서울 중랑구,새마을문고면목7동분회 작은도서관,200,5200,0,0
서울 중랑구,새마을문고묵1동분회 작은도서관,0,7552,0,0
서울 중랑구,새마을문고묵2동분회 작은도서관,200,8000,0,0
서울 중랑구,새마을문고상봉1동분회 작은도서관,200,7000,0,0
서울 중랑구,새마을문고상봉2동분회 작은도서관,200,6253,0,0
서울 중랑구,새마을문고신내1동분회 작은도서관,200,8350,0,0
서울 중랑구,새마을문고중화1동분회 작은도서관,200,6091,0,0
서울 중랑구,새마을문고중화2동분회 작은도서관,200,6848,0,0
서울 도봉구,새마을어린이문고,0,4000,0,0
서울 광진구,새빛작은도서관,235,8425,3,8
서울 서대문구,새솔도서실,350,4148,3,5
서울 서대문구,새싹작은도서관,625,12567,0,0
서울 금천구,새재미작은도서관,1000,4500,1,1
서울 양천구,새희망작은도서관,2000,3000,0,0
서울 강서구,생각열매 작은도서관,350,6850,0,0
서울 송파구,생각쟁이 작은도서관,1500,2700,1,1
서울 도봉구,생글작은도서관,630,9800,6,6
서울 동작구,생명나무도서관,244,3632,0,2
