지역,도서관명,연간 증가 장서 수,총 보유 장서 수,연간 증가 연속간행물 수,현재 총 보유 연속간행물 수
경기 남양주시,강변해태아파트 도서관,0,2300,0,0
경기 양평군,강상작은도서관 ,2871,2871,2,3
경기 고양시,강아지똥 어린이도서관,969,10002,1,2
경기 고양시,강촌공원 5분걸음 예쁜도서관,500,3662,0,22
경기 양평군,강하 작은 도서관,121,7497,2,3
경기 양주시,개척병영작은도서관,244,11352,0,0
경기 파주시,거북작은도서관,840,11253,0,2
경기 시흥시,건영1차아파트,0,1000,0,0
경기 남양주시,건영리버파크아파트문고,471,3600,0,0
경기 용인시,건영캐스빌상앗대문고,75,7663,0,0
경기 시흥시,검바위초작은도서관,1199,30025,0,6
경기 성남시,겨자씨작은도서관,100,4980,3,3
경기 양주시,격파병영작은도서관,300,2406,0,0
경기 수원시,경기다문화 도서관,300,2500,0,0
경기 용인시,경남꿈모아도서관,300,4156,0,0
경기 용인시,경남초록작은도서관,500,8500,0,0
경기 남양주시,경성큰마을 작은도서관,615,6030,0,2
경기 평택시,고궁마을문고,50,3500,0,0
경기 연천군,고대산병영도서관,100,2500,0,6
경기 수원시,고등동 새마을문고,676,11405,0,0
경기 부천시,고리울꿈터작은도서관,878,14323,1,7
경기 용인시,고매2통 작은도서관,0,4600,0,0
경기 고양시,고양 작은도서관,1671,19138,0,1
경기 고양시,고양윤창 작은도서관,1382,8524,0,0
경기 오산시,고인돌도서관,3800,3800,0,0
경기 안산시,고잔2동당곡작은도서관,3228,10628,22,27
경기 안산시,고잔차세대작은도서관,0,1100,0,0
경기 김포시,고촌 작은도서관,502,16299,0,3
경기 오산시,고현초도서관,2196,15363,0,0
경기 수원시,곡선동 새마을문고,488,9726,0,0
경기 김포시,곡촌마을 다솜 작은도서관,0,1240,0,0
경기 성남시,공감의 뜰작은도서관,25,1500,0,0
경기 군포시,공군 제8249부대,605,3911,3,14
경기 안성시,공도새마을문고 청소년공부방,0,8000,0,0
경기 시흥시,공룡도서관(거모복지관),0,1000,0,0
경기 수원시,공부잘하는 독서학교,50,1000,5,5
경기 고양시,관산 작은도서관,1631,23429,7,9
경기 고양시,관산주공아파트도서관,130,7000,0,0
경기 안양시,관양2동 주민센터,84,5500,0,0
경기 포천시,관인작은도서관,227,13636,0,0
경기 수원시,광교동 새마을문고,494,8652,0,0
경기 수원시,광교해모로 숲속작은도서관,130,3221,3,3
경기 수원시,광교호반 책마루도서관,1000,2100,0,0
경기 광명시,광남새마을금고 소하지점 작은도서관,2029,2029,0,0
경기 광명시,광남새마을금고 작은도서관,1020,4231,5,4
경기 광명시,광명6동 작은도서관,933,4211,2,2
경기 광명시,광명드림스타트 새싹도서관,573,10114,3,12
경기 광명시,광명역세권4단지 작은도서관,123,2472,3,3
경기 광명시,광명옹달샘도서관,1219,26130,6,40
경기 광명시,광명한우리독서 작은도서관,200,2660,1,3
경기 수원시,광민작은도서관,100,1200,0,1
경기 수원시,광성꿈나무도서관,100,1200,4,4
경기 고양시,광성북카페,100,18875,0,3
경기 광명시,광일 작은도서관,0,2000,0,0
경기 양주시,광적농협작은도서관,300,2699,0,0
경기 파주시,광탄작은도서관,821,6908,5,5
경기 구리시,교문2동작은도서관,1018,12832,0,11
경기 김포시,구래 작은도서관,1186,5575,0,2
경기 광명시,구름산햇빛 작은도서관,5000,5000,5,5
경기 안양시,구름울 ,359,9270,0,0
경기 구리시,구리 한우리 독서문화원,0,2000,0,0
경기 성남시,구미1동작은도서관,563,3469,0,0
경기 안산시,구세군다문화꿈꾸는작은도서관,0,1000,0,0
경기 여주시,구세군작은도서관,170,4396,0,1
경기 포천시,구세군포천교회작은도서관,1800,2000,1,1
경기 수원시,구운동새마을문고,445,9706,0,0
경기 양주시,국군병원작은도서관,500,7300,0,0
경기 군포시,군포경찰서작은도서관,200,1500,0,0
경기 군포시,군포새마을문고,0,3300,0,0
경기 용인시,굿모닝 작은도서관,616,15043,2,2
경기 군포시,궁내동작은도서관,516,4180,0,0
경기 남양주시,궁의문도서실,580,4014,6,11
경기 수원시,권선1동 새마을문고,184,10962,0,0
경기 수원시,권선2동 새마을문고,607,10061,0,0
경기 고양시,권율 작은도서관,3714,3714,0,0
경기 안양시,귀인동주민센타,178,6396,0,0
경기 김포시,그루터기 작은도서관,200,5124,0,0
경기 용인시,그루터기도서관,200,7744,0,0
경기 부천시,글마루작은도서관,1636,5459,3,11
경기 양주시,글마루작은도서관,1189,5548,0,0
경기 양주시,글벗작은도서관,105,3287,0,0
경기 의왕시,글빛도서관,1200,1200,3,3
경기 수원시,글샘작은도서관,500,4000,0,0
경기 파주시,글향기도서관,959,4948,1,3
경기 고양시,글향기도서관,300,6030,0,0
경기 화성시,글향기도서실,454,5681,1,1
경기 성남시,글향기작은도서관,1680,6030,0,6
경기 파주시,금곡작은도서관,424,4541,9,7
경기 남양주시,금곡푸른꿈작은도서관,640,16308,0,8
경기 성남시,금광2동작은도서관,424,6416,0,0
경기 오산시,금암마을 5단지 도서관,0,1100,0,0
경기 군포시,금정작은도서관,326,7862,0,0
경기 수원시,금호동새마을문고,350,12992,0,0
경기 용인시,금화작은도서관,754,12294,2,3
경기 화성시,기아행복마루작은도서관,1186,8513,0,6
경기 부천시,길벗작은도서관,600,7000,2,2
경기 시흥시,길벗작은도서관,500,3000,0,0
경기 화성시,꽃담,330,10249,6,6
경기 화성시,꽃동산 작은도서관,500,2000,1,3
경기 안산시,꽃우물 작은도서관,1250,6200,13,13
경기 화성시,꽃초롱,635,11202,4,3
경기 안성시,꽃피는도서관,650,2200,1,3
경기 남양주시,꿈 이안 작은도서관,510,7992,0,2
경기 성남시,꿈&휴도서관,1904,4899,2,2
경기 남양주시,꿈그린작은도서관,950,4500,0,1
경기 안양시,꿈꾸는,20,1200,0,0
경기 하남시,꿈꾸는 달팽이 작은도서관,600,5000,6,10
경기 하남시,꿈꾸는 에코 작은도서관 ,620,6521,2,2
경기 용인시,꿈꾸는 작은도서관,841,9528,2,5
경기 안산시,꿈꾸는 작은도서관,2000,5000,1,1
경기 광명시,꿈꾸는나무 작은도서관,700,4100,6,6
경기 화성시,꿈꾸는도서관,1118,10000,2,5
경기 연천군,꿈꾸는문고,20,1200,2,2
경기 부천시,꿈꾸는새싹도서관,1939,19631,3,14
경기 구리시,꿈꾸는작은도서관,1301,1301,1,1
경기 파주시,꿈꾸는작은도서관,1055,6645,2,9
경기 화성시,꿈나래문고 작은도서관,3000,4100,0,0
경기 안양시,꿈나무,1000,6000,2,12
경기 화성시,꿈나무 영어 작은도서관,1000,1000,1,1
경기 부천시,꿈나무가족도서관,926,18354,0,8
경기 안산시,꿈나무작은도서관,400,3500,0,0
경기 시흥시,꿈나무작은도서관,472,12855,0,0
경기 화성시,꿈나무작은도서관,902,9866,1,1
경기 성남시,꿈너비작은도서관,1152,5000,9,9
경기 화성시,꿈누리,339,7865,0,5
경기 용인시,꿈누리도서관,700,5500,2,1
경기 수원시,꿈동산 문고,200,2000,0,0
경기 군포시,꿈드림작은도서관,389,2514,0,0
경기 양주시,꿈드림작은도서관,1346,4366,0,0
경기 안양시,꿈마루,1609,21159,2,7
경기 용인시,꿈마루도서관,500,7000,0,0
