지역,도서관명,상호대차 유무,순회사서 유무,지원 여부,지원인력,지원예산,지원장서,지원프로
강원 정선군,아우라지작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,181,0
강원 원주시,아이사랑 도서관,그렇지 않다,그렇지 않다,그렇다,0,0,269,0
강원 춘천시,앞짱어린이도서관,그렇지 않다,그렇지 않다,그렇다,4,5000000,567,18
강원 원주시,양문 작은 도서관,그렇지 않다,그렇지 않다,그렇다,0,0,200,1
강원 양양군,양양감리교회작은도서관,그렇지 않다,그렇지 않다,그렇다,0,1250000,0,0
강원 영월군,여행자의노래도서관,그렇지 않다,그렇지 않다,그렇다,0,7000000,0,0
강원 원주시,영강도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 속초시,영랑작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,영재도서관,그렇지 않다,그렇지 않다,그렇다,0,2700000,320,0
강원 원주시,영천작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,예꿈터 작은 도서관,그렇지 않다,그렇지 않다,그렇다,0,0,200,2
강원 춘천시,오스타작은도서관,그렇지 않다,그렇지 않다,그렇다,1,1057300,75,0
강원 강릉시,옥거리작은도서관,그렇다,그렇지 않다,그렇지 않다,0,0,0,0
강원 동해시,우리들 작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 횡성군,우천면 매화작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,0,0
강원 강릉시,웅진다책문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 동해시,웅진다책문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,원주YMCA아름드리도서관,그렇지 않다,그렇지 않다,그렇다,0,0,300,0
강원 원주시,원주단관영어도서관,그렇지 않다,그렇지 않다,그렇다,0,2739,251,0
강원 강릉시,월대산작은도서관,그렇다,그렇지 않다,그렇지 않다,0,0,0,0
강원 원주시,은혜어린이도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 동해시,이도작은도서관,그렇다,그렇다,그렇지 않다,0,0,0,0
강원 태백시,작은도서관 꿈,그렇지 않다,그렇지 않다,그렇다,0,1000000,0,0
강원 춘천시,작은도서관별찌(2012년개관),그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 태백시,장성문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
강원 정선군,정선꿈꾸는도서관,그렇지 않다,그렇지 않다,그렇다,0,0,253,2
강원 고성군,죽왕문고,그렇다,그렇지 않다,그렇다,0,0,166,0
강원 홍천군,진리도서관,그렇지 않다,그렇지 않다,그렇다,0,0,1000,0
강원 원주시,참꽃작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
